	Review	Liked
152	finest	1
153	undocu	0
154	bristl	0
155	woeful	0
156	Definitely worth venturing off the strip for the pork belly, will return next time I'm in Vegas.	1
157	pestil	0
158	We got sitting fairly fast, but, ended up waiting 40 minutes just to place our order, another 30 minutes before the food arrived.	0
159	dash	1
160	enviou	1
161	devast	0
162	cleanest	1
163	choke	0
164	allur	1
165	Now this dish was quite flavourful.	1
166	job-kil	0
167	pretti	1
168	majest	1
169	desert	0
170	censur	0
171	lumpi	0
172	irreconcil	0
173	a drive thru means you do not want to wait around for half an hour for your food, but somehow when we end up going here they make us wait and wait.	0
174	coercion	0
175	self-serv	0
176	taut	0
177	triumphal	1
178	qualifi	1
179	intriguingli	1
180	aimless	0
181	There is really nothing for me at postinos, hope your experience is better	0
182	unskil	0
183	The service was terrible, food was mediocre.	0
184	godlik	1
185	I give it 2 thumbs down	0
186	They could serve it with just the vinaigrette and it may make for a better overall dish, but it was still very good.	1
187	gentlest	1
188	outburst	0
189	The atmosphere is modern and hip, while maintaining a touch of coziness.	1
190	irresolv	0
191	thrash	0
192	well-inform	1
193	I love the fact that everything on their menu is worth it.	1
194	conceit	0
195	pompou	0
196	brutish	0
197	Their frozen margaritas are WAY too sugary for my taste.	0
198	stutter	0
199	I found this place by accident and I could not be happier.	1
200	I love this place.	1
201	asininin	0
202	retard	0
203	revuls	0
204	It was so bad, I had lost the heart to finish it.	0
205	defiant	0
206	navig	1
207	ingrat	0
208	deprec	0
209	willingli	1
210	unsaf	0
211	human	1
212	chivalr	1
213	First time going but I think I will quickly become a regular.	1
214	inaptitud	0
215	shortchang	0
216	Bland and flavorless is a good way of describing the barely tepid meat.	0
217	heartfelt	1
218	scath	0
219	awkward	0
220	Owner's are really great people.!	1
221	I live in the neighborhood so I am disappointed I won't be back here, because it is a convenient location.	0
222	fine-look	1
223	viru	0
224	fuss	0
225	thumb-up	1
226	sourli	0
227	soapi	0
228	I would not recommend this place.	0
229	Def coming back to bowl next time	1
230	terror	0
231	indiscreet	0
232	misconcept	0
233	phobia	0
234	rogu	0
235	twist	0
236	better-known	1
237	prais	1
238	WAAAAAAyyyyyyyyyy over rated is all I am saying.	0
239	OMG I felt like I had never eaten Thai food until this dish.	1
240	Also, the fries are without a doubt the worst fries I've ever had.	0
241	energ	1
242	incorrect	0
243	graceless	0
244	gibber	0
245	Not much seafood and like 5 strings of pasta at the bottom.	0
246	award	1
247	simpler	1
248	disloy	0
249	break-up	0
250	teas	0
251	discombobul	0
252	exorbit	0
253	undepend	0
254	misfit	0
255	downheart	0
256	inhospit	0
257	The sweet potato fries were very good and seasoned well.	1
258	head-ach	0
259	jitteri	0
260	sulli	0
261	unattract	0
262	jollifi	1
263	brazen	0
264	I recently tried Caballero's and I have been back every week since!	1
265	irreproach	1
266	I also had to taste my Mom's multi-grain pumpkin pancakes with pecan butter and they were amazing, fluffy, and delicious!	1
267	invalu	1
268	emaci	0
269	We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.	1
270	pillag	0
271	rock-star	1
272	bonus	1
273	The burger is good beef, cooked just right.	1
274	inordin	0
275	rapport	1
276	endors	1
277	resurg	0
278	challeng	0
279	deploringli	0
280	We enjoy their pizza and brunch.	1
281	travesti	0
282	skill	1
283	Their chow mein is so good!	1
284	addict	0
285	despic	0
286	thumb-down	0
287	impass	1
288	inviol	1
289	accurs	0
290	poignant	1
291	vexat	0
292	spew	0
293	The best place in Vegas for breakfast (just check out a Sat, or Sun.	1
294	irasc	0
295	inculc	0
296	This place is amazing!	1
297	commodi	1
298	incorrig	0
299	fervid	1
300	purifi	1
301	invidi	0
302	delinqu	0
303	indign	0
304	imprec	0
305	devious	0
306	peev	0
307	frugal	1
308	passion	1
309	Classy/warm atmosphere, fun and fresh appetizers, succulent steaks (Baseball steak!!!!!	1
310	He deserves 5 stars.	1
311	indiscret	0
312	vibrat	0
313	undefin	0
314	CONCLUSION: Very filling meals.	1
315	spontan	1
316	Fantastic service here.	1
317	stall	0
318	The bus boy on the other hand was so rude.	0
319	impur	0
320	expediti	1
321	hallmark	1
322	profoundli	1
323	They have great dinners.	1
324	occlud	0
325	enticingli	1
326	denial	0
327	contort	0
328	mightili	1
329	counterproduct	0
330	Eew... This location needs a complete overhaul.	0
331	sullen	0
332	Spend your money and time some place else.	0
333	lack	0
334	- the food is rich so order accordingly.	1
335	inescap	0
336	deject	0
337	Waited 2 hours & never got either of our pizzas as many other around us who came in later did!	0
338	needi	0
339	secret	0
340	I was shocked because no signs indicate cash only.	0
341	unexplain	0
342	squirm	0
343	ill-form	0
344	We sat another ten minutes and finally gave up and left.	0
345	excruci	0
346	Went for lunch - service was slow.	0
347	worri	0
348	stimul	1
349	foulli	0
350	halcyon	1
351	desititut	0
352	extravag	0
353	blather	0
354	relentless	0
355	humil	1
356	commend	1
357	glimmer	1
358	darl	1
359	enchantingli	1
360	ecenom	1
361	unsuspect	0
362	well-round	1
363	nervous	0
364	upliftingli	1
365	repel	0
366	I just wanted to leave.	0
367	This place is not quality sushi, it is not a quality restaurant.	0
368	I vomited in the bathroom mid lunch.	0
369	recoveri	1
370	The staff was very attentive.	1
371	content	1
372	impun	0
373	Once you get inside you'll be impressed with the place.	1
374	I probably won't be coming back here.	0
375	tantrum	0
376	Great atmosphere, friendly and fast service.	1
377	humor	1
378	problem	0
379	unrespons	0
380	defect	0
381	impuls	0
382	swamp	0
383	I hate to disagree with my fellow Yelpers, but my husband and I were so disappointed with this place.	0
384	fallout	0
385	ugli	0
386	This place was such a nice surprise!	1
387	threesom	0
388	recoil	0
389	I consider this theft.	0
390	Any grandmother can make a roasted chicken better than this one.	0
391	hawkish	0
392	My first visit to Hiro was a delight!	1
393	treacheri	0
394	I had high hopes for this place since the burgers are cooked over a charcoal grill, but unfortunately the taste fell flat, way flat.	0
395	grave	0
396	ordeal	0
397	besmirch	0
398	insight	1
399	naiv	0
400	Not to mention the combination of pears, almonds and bacon is a big winner!	1
401	All in all, I can assure you I'll be back.	1
402	pauciti	0
403	crisi	0
404	drunkard	0
405	Just spicy enough.. Perfect actually.	1
406	feasibl	1
407	easi	1
408	unavoid	0
409	inadver	0
410	acrid	0
411	ardent	1
412	Do not waste your money here!	0
413	cruel	0
414	fastuou	0
415	sleazi	0
416	tenuous	0
417	inferior	0
418	discord	0
419	Sadly, Gordon Ramsey's Steak is a place we shall sharply avoid during our next trip to Vegas.	0
420	decrepitud	0
421	secur	1
422	silent	1
423	cheer	1
424	Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...	0
425	lose	0
426	romant	1
427	craftli	0
428	vehement	0
429	sage	1
430	infern	0
431	Anyway, this FS restaurant has a wonderful breakfast/lunch.	1
432	illuminati	1
433	pride	1
434	hamper	0
435	I have eaten here multiple times, and each time the food was delicious.	1
436	avidli	1
437	fault	0
438	incomprehens	0
439	balanc	1
440	excal	1
441	renaiss	1
442	Interesting decor.	1
443	The staff are also very friendly and efficient.	1
444	devout	1
445	hardi	1
446	involuntari	0
447	alluringli	1
448	this place is good.	1
449	faithless	0
450	freez	0
451	uneth	0
452	My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.	1
453	crippl	0
454	light-heart	1
455	blurri	0
456	coolest	1
457	dissuas	0
458	This place is not worth your time, let alone Vegas.	0
459	By far the BEST cheesecurds we have ever had!	1
460	cowardli	0
461	shit	0
462	banish	0
463	achiev	1
464	deceit	0
465	castrat	0
466	bullyingli	0
467	miserli	0
468	unpleas	0
469	invulner	1
470	sweep	1
471	spill	0
472	euphoria	1
473	great	1
474	skimpi	0
475	stress	0
476	top-heavi	0
477	Ordered burger rare came in we'll done.	0
478	implac	0
479	disarray	0
480	benefici	1
481	Awesome service and food.	1
482	downgrad	0
483	contraven	0
484	inflat	0
485	save	1
486	spookier	0
487	unsophist	0
488	unfamiliar	0
489	pan	0
490	The service was poor and thats being nice.	0
491	miracl	1
492	dupe	0
493	savior	1
494	rectifi	1
495	reconcili	1
496	accus	0
497	acclam	1
498	whooa	1
499	ennobl	1
500	maladjust	0
501	spookili	0
502	impermiss	0
503	lame-duck	0
504	downer	0
505	impiou	0
506	incivil	0
507	The live music on Fridays totally blows.	0
508	disclaim	0
509	hostil	0
510	backbon	1
511	hectic	0
512	digniti	1
513	This place has it!	1
514	scold	0
515	degener	0
516	misbehav	0
517	perturb	0
518	cleanli	1
519	sunken	0
520	indecorum	0
521	belittl	0
522	repetit	0
523	uncivil	0
524	hesit	0
525	isol	0
526	Now the burgers aren't as good, the pizza which used to be amazing is doughy and flavorless.	0
527	suscept	0
528	assail	0
529	funni	0
530	heavy-hand	0
531	luckiest	1
532	disgustingli	0
533	friction	0
534	bulki	0
535	roadblock	0
536	adulatori	1
537	All in all an excellent restaurant highlighted by great service, a unique menu, and a beautiful setting.	1
538	use	1
539	Strike 2, who wants to be rushed.	0
540	jerki	0
541	sticki	0
542	coars	0
543	ill-mann	0
544	slammin	1
545	grievou	0
546	imperi	0
547	But now I was completely grossed out.	0
548	Extremely Tasty!	1
549	dauntless	1
550	seamless	1
551	overdo	0
552	disfavor	0
553	impati	0
554	avaric	0
555	throttl	0
556	distraught	0
557	overpow	0
558	reput	1
559	stuffi	0
560	tidi	1
561	convient	1
562	substandard	0
563	The staff is super nice and very quick even with the crazy crowds of the downtown juries, lawyers, and court staff.	1
564	knave	0
565	leverag	1
566	oasi	1
567	bedlam	0
568	ineptli	0
569	I will be back many times soon.	1
570	nemesi	0
571	Do yourself a favor and stay away from this dish.	0
572	Wonderful lil tapas and the ambience made me feel all warm and fuzzy inside.	1
573	inconst	0
574	fancin	1
575	The food was terrible.	0
576	geekier	1
577	dissappoint	0
578	promot	1
579	I don't recommend unless your car breaks down in front of it and you are starving.	0
580	drought	0
581	wheedl	0
582	the presentation of the food was awful.	0
583	anguish	0
584	Everyone is very attentive, providing excellent customer service.	1
585	splatter	0
586	hustler	0
587	disast	0
588	uneven	0
589	vilifi	0
590	gutsi	1
591	vex	0
592	irksom	0
593	pro	1
594	Perfect for someone (me) who only likes beer ice cold, or in this case, even colder.	1
595	discredit	0
596	cheat	0
597	In fact I'm going to round up to 4 stars, just because she was so awesome.	1
598	Won't go back.	0
599	Service was fantastic.	1
600	brusqu	0
601	fatcat	0
602	usabl	1
603	detest	0
604	shiver	0
605	limit	0
606	genuin	1
607	coven	1
608	arcan	0
609	stylish	1
610	overdon	0
611	propiti	1
612	ill-natur	0
613	naã”v	0
614	piqu	0
615	warm	1
616	crumpl	0
617	unsettlingli	0
618	trust	1
619	discontinu	0
620	semi-retard	0
621	auster	0
622	talent	1
623	Omelets are to die for!	1
624	Give it a try, you will be happy you did.	1
625	unqualifi	0
626	shock	0
627	say bye bye to your tip lady!	0
628	subvert	0
629	unapp	0
630	wast	0
631	Eclectic selection.	1
632	groundbreak	1
633	nightmar	0
634	fecilit	1
635	ravag	0
636	decis	1
637	leech	0
638	short	0
639	deplet	0
640	constern	0
641	unkind	0
642	extrem	0
643	cheapli	0
644	uninform	0
645	upheld	1
646	continu	1
647	amput	0
648	petrifi	0
649	I loved the grilled pizza, reminded me of legit Italian pizza.	1
650	ludicr	0
651	first-class	1
652	They know how to make them here.	1
653	The best place to go for a tasty bowl of Pho!	1
654	horrif	0
655	glori	1
656	deprav	0
657	Service was excellent and prices are pretty reasonable considering this is Vegas and located inside the Crystals shopping mall by Aria.	1
658	neatli	1
659	shameless	0
660	grous	0
661	fearlessli	1
662	futil	0
663	enflam	0
664	choppi	0
665	fussi	0
666	This is an Outstanding little restaurant with some of the Best Food I have ever tasted.	1
667	thoughtlessli	0
668	This place is hands-down one of the best places to eat in the Phoenix metro area.	1
669	belabor	0
670	erod	0
671	illegitim	0
672	paradox	0
673	goon	0
674	jovial	1
675	We are so glad we found this place.	1
676	unpleasantri	0
677	diametr	0
678	you can watch them preparing the delicious food!)	1
679	chill	0
680	softer	1
681	warili	0
682	fraught	0
683	It was pretty gross!	0
684	flighti	0
685	affection	1
686	My boyfriend and I came here for the first time on a recent trip to Vegas and could not have been more pleased with the quality of food and service.	1
687	rantingli	0
688	easiest	1
689	fleed	0
690	heathen	0
691	straighten	1
692	dissatisfi	0
693	congratul	1
694	gallingli	0
695	credibl	1
696	cumbersom	0
697	Food quality has been horrible.	0
698	tyrant	0
699	thrive	1
700	volatil	0
701	heavenli	1
702	easier	1
703	dictatori	0
704	warlik	0
705	optim	1
706	memor	1
707	The staff are now not as friendly, the wait times for being served are horrible, no one even says hi for the first 10 minutes.	0
708	disoobedi	0
709	hazard	0
710	wretch	0
711	prowess	1
712	famou	1
713	amiti	1
714	I'm probably one of the few people to ever go to Ians and not like it.	0
715	fist	0
716	struck	0
717	exhaust	0
718	filthi	0
719	milit	0
720	fright	0
721	decay	0
722	reclaim	1
723	affront	0
724	gibberish	0
725	I am far from a sushi connoisseur but I can definitely tell the difference between good food and bad food and this was certainly bad food.	0
726	pertinaci	0
727	unorthodox	0
728	egregi	0
729	bastard	0
730	stupor	0
731	ineptitud	0
732	infuri	0
733	autonom	1
734	unrestrict	1
735	hung	0
736	tepid	0
737	Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE.	0
738	tantalizingli	1
739	disquietud	0
740	envi	1
741	blotchi	0
742	unwav	1
743	moron	0
744	malodor	0
745	I love that they put their food in nice plastic containers as opposed to cramming it in little paper takeout boxes.	1
746	bless	1
747	wrinkl	0
748	They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food.	0
749	We could not believe how dirty the oysters were!	0
750	viper	0
751	hideou	0
752	Best breakfast buffet!!!	1
753	coupist	0
754	whip	0
755	omin	0
756	plebeian	0
757	It was just not a fun experience.	1
758	outmod	0
759	bite	0
760	lugubri	0
761	rejoicingli	1
762	bent	0
763	confus	0
764	ration	1
765	satisfactorili	1
766	stylishli	1
767	unnerv	0
768	lengthi	0
769	troublingli	0
770	postur	0
771	vener	1
772	Special thanks to Dylan T. for the recommendation on what to order :) All yummy for my tummy.	1
773	reproach	0
774	starvat	0
775	diverg	0
776	poki	0
777	misbehavior	0
778	louder	0
779	deadweight	0
780	user-friendli	1
781	smilingli	1
782	cheapen	0
783	indefens	0
784	ingeni	1
785	effici	1
786	pleas	1
787	violat	0
788	flexibl	1
789	The vegetables are so fresh and the sauce feels like authentic Thai.	1
790	surrend	0
791	graft	0
792	This is one of the better buffets that I have been to.	1
793	maladi	0
794	lean	1
795	lead	1
796	impenit	0
797	overbalanc	0
798	slog	0
799	abnorm	0
800	streamlin	1
801	cheaper	1
802	exorbitantli	0
803	cutthroat	0
804	chatterbox	0
805	Very convenient, since we were staying at the MGM!	1
806	betray	0
807	scare	0
808	spotless	1
809	faze	0
810	conspir	0
811	efficaci	1
812	destini	1
813	commit	1
814	busybodi	0
815	exult	1
816	As a sushi lover avoid this place by all means.	0
817	disput	0
818	excel	1
819	tumultu	0
820	apathi	0
821	pollut	0
822	darken	0
823	teasingli	0
824	It really is impressive that the place hasn't closed down.	0
825	Ambience is perfect.	1
826	One nice thing was that they added gratuity on the bill since our party was larger than 6 or 8, and they didn't expect more tip than that.	1
827	chintzi	0
828	This is a great restaurant at the Mandalay Bay.	1
829	obtus	0
830	fiendish	0
831	entrap	0
832	pretenti	0
833	revolt	0
834	Sooooo good!!	1
835	protect	1
836	deginifi	1
837	And the drinks are WEAK, people!	0
838	kind	1
839	manipul	0
840	brighter	1
841	unnervingli	0
842	Not good by any stretch of the imagination.	0
843	When my order arrived, one of the gyros was missing.	0
844	scarc	0
845	I didn't know pulled pork could be soooo delicious.	1
846	exultingli	1
847	flak	0
848	Service sucks.	0
849	lawbreak	0
850	malici	0
851	overblown	0
852	weaker	0
853	Very friendly staff.	1
854	The warm beer didn't help.	0
855	drawback	0
856	paral	0
857	The service here is fair at best.	0
858	coerc	0
859	arbitrari	0
860	undisput	1
861	warmth	1
862	Needless to say, we will never be back here again.	0
863	healthi	1
864	The goat taco didn't skimp on the meat and wow what FLAVOR!	1
865	impot	0
866	worth	1
867	large-capac	1
868	oversimplifi	0
869	audici	0
870	imacul	1
871	unaccept	0
872	golden	1
873	escapad	0
874	notori	0
875	disquiet	0
876	infuriatingli	0
877	I love the owner/chef, his one authentic Japanese cool dude!	1
878	sound	1
879	costli	0
880	sickli	0
881	The lighting is just dark enough to set the mood.	1
882	pervers	0
883	reconcil	1
884	shun	0
885	valiantli	1
886	aggriev	0
887	encourag	1
888	compuls	0
889	diplomat	1
890	fruitless	0
891	heckl	0
892	alterc	0
893	darker	0
894	split	0
895	Server did a great job handling our large rowdy table.	1
896	capitul	0
897	dictat	0
898	fractiou	0
899	flare	0
900	From what my dinner companions told me...everything was very fresh with nice texture and taste.	1
901	imposs	0
902	fraudul	0
903	aggriv	0
904	Only Pros : Large seating area/ Nice bar area/ Great simple drink menu/ The BEST brick oven pizza with homemade dough!	1
905	dissid	0
906	uproar	0
907	denunci	0
908	uneasili	0
909	tens	0
910	I left with a stomach ache and felt sick the rest of the day.	0
911	orphan	0
912	hard-hit	0
913	enough	1
914	authorit	1
915	eros	0
916	This place receives stars for their APPETIZERS!!!	1
917	The manager was the worst.	0
918	crept	0
919	tender	1
920	scorch	0
921	salut	1
922	sneak	0
923	corrupt	0
924	smash	0
925	cautionari	0
926	chast	1
927	debauch	0
928	audac	0
929	conciliatori	1
930	sicken	0
931	spoon-f	0
932	endear	1
933	sap	0
934	Good beer & drink selection and good food selection.	1
935	mindlessli	0
936	autocrat	0
937	convolut	0
938	exhorbit	0
939	uncompromis	0
940	defunct	0
941	accost	0
942	disloyalti	0
943	standstil	0
944	mistakenli	0
945	uproot	0
946	weep	0
947	master	1
948	meritori	1
949	fear	0
950	jubilantli	1
951	The service was terrible though.	0
952	rife	0
953	I love the Pho and the spring rolls oh so yummy you have to try.	1
954	worthlessli	0
955	erupt	0
956	inessenti	0
957	rhapsod	0
958	The food, amazing.	1
959	Terrible management.	0
960	shini	1
961	debacl	0
962	boom	1
963	batter	0
964	unsteadi	0
965	ampli	1
966	falsehood	0
967	abysm	0
968	pretens	0
969	I personally love the hummus, pita, baklava, falafels and Baba Ganoush (it's amazing what they do with eggplant!).	1
970	bounti	1
971	mania	0
972	vaniti	0
973	famish	0
974	blind	0
975	It was probably dirt.	0
976	anti-soci	0
977	sceptic	0
978	I love their fries and their beans.	1
979	bullish	1
980	invalid	0
981	curs	0
982	snare	0
983	expel	0
984	aspir	1
985	ineffect	0
986	absurd	0
987	tire	0
988	Waitress was good though!	1
989	It was way over fried.	0
990	stab	0
991	Stopped by this place while in Madison for the Ironman, very friendly, kind staff.	1
992	viciou	0
993	Tried to go here for lunch and it was a madhouse.	0
994	tranquil	1
995	indig	0
996	stirringli	1
997	disown	0
998	supurbl	1
999	untim	0
1000	genocid	0
1001	Waitress was a little slow in service.	0
1002	unprepar	0
1003	extravagantli	0
1004	noxiou	0
1005	energy-effici	1
1006	insincer	0
1007	vouch	1
1008	Now I am getting angry and I want my damn pho.	0
1009	Very Very Disappointed ordered the $35 Big Bay Plater.	0
1010	peppi	1
1011	confront	0
1012	This place has a lot of promise but fails to deliver.	0
1013	proprietari	0
1014	undercut	0
1015	Worst food/service I've had in a while.	0
1016	dissuad	0
1017	gritti	0
1018	malcont	0
1019	over-pr	0
1020	moral	1
1021	scapegoat	0
1022	epidem	0
1023	superstiti	0
1024	prick	0
1025	Love the margaritas, too!	1
1026	Service was good and the company was better!	1
1027	plagiar	0
1028	I had strawberry tea, which was good.	1
1029	relaps	0
1030	pauper	0
1031	hegemon	0
1032	discrep	0
1033	dissoci	0
1034	inflam	0
1035	hardship	0
1036	competit	1
1037	My fella got the huevos rancheros and they didn't look too appealing.	0
1038	upbeat	1
1039	dissolut	0
1040	crisper	1
1041	Back to good BBQ, lighter fare, reasonable pricing and tell the public they are back to the old ways.	1
1042	bestial	0
1043	This was my first crawfish experience, and it was delicious!	1
1044	Lordy, the Khao Soi is a dish that is not to be missed for curry lovers!	1
1045	My breakfast was perpared great, with a beautiful presentation of 3 giant slices of Toast, lightly dusted with powdered sugar.	1
1046	unreach	0
1047	pure	1
1048	well-regard	1
1049	pathet	0
1050	merciless	0
1051	Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.	0
1052	run-down	0
1053	melancholi	0
1054	undignifi	0
1055	lyric	1
1056	hegemoni	0
1057	The food sucked, which we expected but it sucked more than we could have imagined.	0
1058	majesti	1
1059	rhetor	0
1060	pokey	0
1061	jaw-drop	1
1062	select	1
1063	maniac	0
1064	bitter	0
1065	dishonestli	0
1066	intimaci	1
1067	The management is rude.	0
1068	slowwww	0
1069	vainli	0
1070	neglig	0
1071	painlessli	1
1072	wrongli	0
1073	wilt	0
1074	OMG, the food was delicioso!	1
1075	shadi	0
1076	mordantli	0
1077	examplar	1
1078	steadfastli	1
1079	masterpiec	1
1080	retaliatori	0
1081	unconfirm	0
1082	catastrophi	0
1083	bright	1
1084	mangl	0
1085	faultless	1
1086	The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.	0
1087	pale	0
1088	charismat	1
1089	Favorite place in town for shawarrrrrrma!!!!!!	1
1090	fatti	0
1091	I love this place.	1
1092	astut	1
1093	unus	0
1094	drop-out	0
1095	The chains, which I'm no fan of, beat this place easily.	0
1096	obscur	0
1097	fall	0
1098	junki	0
1099	extol	1
1100	sluggish	0
1101	amic	1
1102	smartest	1
1103	spook	0
1104	defil	0
1105	craven	0
1106	bliss	1
1107	manag	1
1108	mad	0
1109	unhappili	0
1110	unlucki	0
1111	turmoil	0
1112	Everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter.	1
1113	unorthodoxi	0
1114	toughest	1
1115	advanc	1
1116	vulner	0
1117	loss	0
1118	disgruntl	0
1119	The portion was huge!	1
1120	My drink was never empty and he made some really great menu suggestions.	1
1121	subject	0
1122	fundament	0
1123	innuendo	0
1124	intimidatingli	0
1125	tickl	1
1126	uneasi	0
1127	jitter	0
1128	toler	1
1129	sporti	1
1130	agonizingli	0
1131	well-known	1
1132	charit	1
1133	sardon	0
1134	problem-solv	1
1135	They also have the best cheese crisp in town.	1
1136	astray	0
1137	heedless	0
1138	amiss	0
1139	blunt	0
1140	berserk	0
1141	apocalypt	0
1142	The desserts were a bit strange.	0
1143	monoton	0
1144	After the disappointing dinner we went elsewhere for dessert.	0
1145	disorderli	0
1146	counter-product	0
1147	unfairli	0
1148	Needless to say, I won't be going back anytime soon.	0
1149	Lastly, the mozzarella sticks, they were the best thing we ordered.	1
1150	bust	0
1151	pervert	0
1152	advoc	1
1153	Why are these sad little vegetables so overcooked?	0
1154	It was delicious!!!	1
1155	enslav	0
1156	dynam	1
1157	brave	1
1158	mistaken	0
1159	overdu	0
1160	mind-blow	1
1161	strangest	0
1162	self-suffici	1
1163	cheesi	0
1164	stymi	0
1165	prodigi	1
1166	so-cal	0
1167	Over rated.	0
1168	earnestli	1
1169	melodramat	0
1170	suffic	1
1171	snobbish	0
1172	dote	1
1173	mesmer	1
1174	sloooow	0
1175	verit	1
1176	distraughtli	0
1177	bicker	0
1178	impieti	0
1179	pig	0
1180	renunci	0
1181	divin	1
1182	ill-temp	0
1183	elatedli	1
1184	dilapid	0
1185	fascist	0
1186	You get incredibly fresh fish, prepared with care.	1
1187	thorni	0
1188	misalign	0
1189	onslaught	0
1190	Food was delicious!	1
1191	The poor batter to meat ratio made the chicken tenders very unsatisfying.	0
1192	On a positive note, our server was very attentive and provided great service.	1
1193	notabl	1
1194	This place deserves no stars.	0
1195	loophol	0
1196	concen	0
1197	rapid	1
1198	sturdi	1
1199	cheap	0
1200	We waited for thirty minutes to be seated (although there were 8 vacant tables and we were the only folks waiting).	0
1201	Highly recommended.	1
1202	frig	0
1203	overtur	1
1204	exhilar	1
1205	backbit	0
1206	snappi	1
1207	scorn	0
1208	promptli	1
1209	fragrant	1
1210	delici	1
1211	burden	0
1212	bungler	0
1213	The staff is always super friendly and helpful, which is especially cool when you bring two small boys and a baby!	1
1214	The food was excellent and service was very good.	1
1215	facilit	1
1216	racist	0
1217	cranki	0
1218	startlingli	0
1219	greedi	0
1220	brainless	0
1221	zealous	0
1222	snappishli	0
1223	authent	1
1224	winc	0
1225	raptur	1
1226	Taste is okay not super	0
1227	overload	0
1228	disadvantag	0
1229	entangl	0
1230	The selection of food was not the best.	0
1231	rift	0
1232	contempt	0
1233	dauntingli	0
1234	maltreat	0
1235	balk	0
